symbol,date,price
E20,Oct 2008,24.25
E20,Nov 2008,19.26
E20,Dec 2008,15.65
E20,Jan 2009,16.16
E20,Feb 2009,20.4
E20,Mar 2009,21.53
E20,Apr 2009,23.35
E20,May 2009,24.54
E20,Jun 2009,26.62
E20,Jul 2009,27.09
E20,Aug 2009,29.48
E20,Sep 2009,28.78
E20,Oct 2009,28.18
E20,Nov 2009,29.44
E20,Dec 2009,29.12
E20,Jan 2010,30.02
E20,Feb 2010,30.48
E20,Mar 2010,31.25
E20,Apr 2010,31.57
E20,May 2010,30.3
E20,Jun 2010,29.34
E20,Jul 2010,29.27
E20,Aug 2010,29.42
E20,Sep 2010,28.34
E20,Oct 2010,29.23
E20,Nov 2010,29.96
E20,Dec 2010,30.3
E20,Jan 2011,31.36
E20,Feb 2011,32.38
E20,Mar 2011,33.91
E20,Apr 2011,35.12
E20,May 2011,34.79
E20,Jun 2011,34.11
E20,Jul 2011,34.68
E20,Aug 2011,33.05
E20,Sep 2011,32.06
E20,Oct 2011,31.95
E20,Nov 2011,31.23
E20,Dec 2011,30.66
E20,Jan 2012,33.59
E20,Feb 2012,35.77
E20,Mar 2012,37.27
E20,Apr 2012,37.58
E20,May 2012,35.49
E20,Jun 2012,32.95
E20,Jul 2012,33.46
E20,Aug 2012,34.74
E20,Sep 2012,34.21
E20,Oct 2012,33.35
E20,Nov 2012,31.69
E20,Dec 2012,32.09
E20,Jan 2013,32.62
E20,Feb 2013,34.33
E20,Mar 2013,34.46
E20,Apr 2013,32.86
E20,May 2013,32.62
E20,Jun 2013,33.71
E20,Jul 2013,35.12
E20,Aug 2013,34.5
E20,Sep 2013,34.34
E20,Oct 2013,33.62
E20,Nov 2013,33.83
E20,Dec 2013,34.8
E20,Jan 2014,35.74
E20,Feb 2014,35.22
E20,Mar 2014,35.81
E20,Apr 2014,35.94
E20,May 2014,36.07
E20,Jun 2014,35.87
E20,Jul 2014,35.68
E20,Aug 2014,34.94
E20,Sep 2014,33.98
E20,Oct 2014,33.11
E20,Nov 2014,31.67
E20,Dec 2014,28.2
E20,Jan 2015,25.12
E20,Feb 2015,25.78
E20,Mar 2015,26.63
E20,Apr 2015,25.83
E20,May 2015,26.86
E20,Jun 2015,27.35
